candidate_id,route_family,predicate_label,scan_id,subject_id,object_id,scan_exists,multi_view_exists,multi_view_file_count,mesh_file_count,subject_jpg_count,object_jpg_count,subject_crop_jpg_count,object_crop_jpg_count,raw_geometry_available,asset_observability_label,asset_observability_label_source
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->3::support_contact::6::lying_on::0,support_contact,lying on,095821f7-e2c2-2de1-9568-b9ce59920e29,10,3,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->3::support_contact::6::standing_on::1,support_contact,standing on,095821f7-e2c2-2de1-9568-b9ce59920e29,10,3,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->8::relative_horizontal::35::behind::2,relative_horizontal,behind,095821f7-e2c2-2de1-9568-b9ce59920e29,10,8,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->8::relative_horizontal::35::front::0,relative_horizontal,front,095821f7-e2c2-2de1-9568-b9ce59920e29,10,8,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->8::relative_horizontal::35::left::1,relative_horizontal,left,095821f7-e2c2-2de1-9568-b9ce59920e29,10,8,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->8::relative_horizontal::36::behind::2,relative_horizontal,behind,095821f7-e2c2-2de1-9568-b9ce59920e29,10,8,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->8::relative_horizontal::36::left::1,relative_horizontal,left,095821f7-e2c2-2de1-9568-b9ce59920e29,10,8,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->8::relative_horizontal::36::right::0,relative_horizontal,right,095821f7-e2c2-2de1-9568-b9ce59920e29,10,8,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->1::support_contact::0::lying_on::1,support_contact,lying on,095821f7-e2c2-2de1-9568-b9ce59920e29,2,1,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->1::support_contact::0::standing_on::0,support_contact,standing on,095821f7-e2c2-2de1-9568-b9ce59920e29,2,1,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->3::relative_horizontal::7::behind::2,relative_horizontal,behind,095821f7-e2c2-2de1-9568-b9ce59920e29,2,3,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->3::relative_horizontal::7::left::1,relative_horizontal,left,095821f7-e2c2-2de1-9568-b9ce59920e29,2,3,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->3::relative_horizontal::7::right::0,relative_horizontal,right,095821f7-e2c2-2de1-9568-b9ce59920e29,2,3,True,True,109,3,10,10,5,5,True,observable,codex_visual_mesh_file_audit_from_3rscan_multiview_and_scan_assets
